dosage,MedicineName
Tab,"PAZOPANIB HCL 200 MG-(1X30)"
Tab,"PAZOPANIB HCL 400 MG (1X30)"
Inj.,"PEGYLATED RECOM ERYTHROPOIETIN 75MCG (ERYPEG)(1X1)"
Tab,"POSACONAZOLE 100 MG (1X10)"
Inj.,"RITUXIMAB 500MG (PACK SIZE 1X1)"
Caps,"RIVASTIGMINE 1.5 MG (PACK SIZE 1X10)"
Caps,"RIVASTIGMINE 3 MG (PACK SIZE 1X10)"
Patch,"RIVASTIGMINE PATCH 10CM2 (EXELON) (PACK SIZE 1X30)"
Patch,"RIVASTIGMINE PATCH 5CM2 (EXELON) (PACK SIZE 1X30)"
Tab,"RUXOLITINIB 15 MG (JAKAVI ) (PACK SIZE 1X10)"
Inj.,"SECUKINIMAB 150 MG (SCAPHO) (PACK SIZE 1X1)"
Inj.,"SOMATROGON (GENRYZON) 24 MG INJ (PACK SIZE 1X1)"
Inj.,"SOMATROPIN 15 IU (NORDITROPIN) (PACK SIZE1X1)"
Inj.,"SOMATROPIN 16 IU (PACK SIZE 1X1)"
Inj.,"SOTATERCEPT 60 MG INJ  (PACK SIZE 1X1)"
Tab,"SUNITINIB MALATE 50 MG (PACK SIZE1X7)"
Tab,"TEPOTINIB 225 MG TAB (PACK SIZE 1X30)"
Cartridge,"TERIPARATIDE 750 MCG/ 3 ML INJ (PACK SIZE1X1)"
Inj.,"TISLELIZUMAB 100 MG INJ (PACK SIZE 1x1)"
Inj.,"TOCILIZUMAB 200 MG (PACK SIZE 1X1)"
Inj.,"TORIPALIMAB (ZYTORVI) 240 mg/6 ml Inj (PACK SIZE 1X1)"
Tab,"TRAMETINIB 0.5 MG TAB (PACK SIZE 1X30)"
Inj.,"TREMELIMUMAB 300 MG/15 ML INJ (PACK SIZE 1X1)"
Inj.,"TRIPTORELIN 11.25 MG (PACK SIZE 1X1)"
Inj.,"TRIPTORELINE 3.75MG (PACK SIZE 1X1)"
Inj.,"TUROCTOCOG ALFA PEGOL (ESPEROCT 1500 IU) INJ"
Inj.,"TUROCTOCOG ALFA PEGOL (ESPEROCT 500 IU) INJ"
Inj.,"VINORLEBINE 10 MG (PACK SIZE1X1)"
Inj.,"VINORLEBINE 50 MG (PACK SIZE1X1)"
Tab,"VORASIDENIB 10 MG TAB (PACK SIZE 1X30)"
Inj.,"ZOLEDRONIC ACID 4MG (PACK SIZE 1X1)"
